ds,Description,share,yhat_lstm_category
2011-12-16 12:50:00,REGENCY CAKESTAND 3 TIER,0.015057271298212082,4062.5454336635057
2011-12-16 12:50:00,JUMBO BAG RED RETROSPOT,0.010036569855976382,2707.92896206122
2011-12-16 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.009612905015810382,2593.621553518708
2011-12-16 12:50:00,POSTAGE,0.008776710451703343,2368.0110600376834
2011-12-16 12:50:00,PARTY BUNTING,0.008673790631134801,2340.2426524156567
2011-12-23 12:50:00,REGENCY CAKESTAND 3 TIER,0.015057271298212082,4080.096094980756
2011-12-23 12:50:00,JUMBO BAG RED RETROSPOT,0.010036569855976382,2719.627525156784
2011-12-23 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.009612905015810382,2604.8262955244804
2011-12-23 12:50:00,POSTAGE,0.008776710451703343,2378.2411388857486
2011-12-23 12:50:00,PARTY BUNTING,0.008673790631134801,2350.352768564116
2011-12-30 12:50:00,REGENCY CAKESTAND 3 TIER,0.015057271298212082,4130.475842585662
2011-12-30 12:50:00,JUMBO BAG RED RETROSPOT,0.010036569855976382,2753.2086333236493
2011-12-30 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.009612905015810382,2636.989874094255
2011-12-30 12:50:00,POSTAGE,0.008776710451703343,2407.6069149683417
2011-12-30 12:50:00,PARTY BUNTING,0.008673790631134801,2379.3741877920643
2012-01-06 12:50:00,REGENCY CAKESTAND 3 TIER,0.015057271298212082,4152.24301040614
2012-01-06 12:50:00,JUMBO BAG RED RETROSPOT,0.010036569855976382,2767.717749621695
2012-01-06 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.009612905015810382,2650.886529907736
2012-01-06 12:50:00,POSTAGE,0.008776710451703343,2420.2947470150852
2012-01-06 12:50:00,PARTY BUNTING,0.008673790631134801,2391.9132363731983
