ds,Description,share,yhat_lstm_category
2011-12-16 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2578.3571512140497
2011-12-16 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,2315.2894115907347
2011-12-16 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1442.3469715009553
2011-12-16 12:50:00,POSTAGE,0.007298127928569281,1303.4361832828163
2011-12-16 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,1211.293217412424
2011-12-23 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2522.1590958823504
2011-12-23 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,2264.825199369318
2011-12-23 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1410.909474615098
2011-12-23 12:50:00,POSTAGE,0.007298127928569281,1275.026395788878
2011-12-23 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,1184.8917845376172
2011-12-30 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2152.464288875757
2011-12-30 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,1932.8500609446774
2011-12-30 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1204.1001949097968
2011-12-30 12:50:00,POSTAGE,0.007298127928569281,1088.1346814283384
2011-12-30 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,1011.2118845172397
2012-01-06 12:50:00,REGENCY CAKESTAND 3 TIER,0.014436595037364159,2130.4685573337506
2012-01-06 12:50:00,WHITE HANGING HEART T-LIGHT HOLDER,0.012963640670841152,1913.0985364844526
2012-01-06 12:50:00,JUMBO BAG RED RETROSPOT,0.008075909546171042,1191.7956634135985
2012-01-06 12:50:00,POSTAGE,0.007298127928569281,1077.015185296421
2012-01-06 12:50:00,ASSORTED COLOUR BIRD ORNAMENT,0.006782206120302274,1000.8784516891648
